movie_id,Genre
702,Comedy
703,Animation
703,Action
703,Adventure
703,Comedy
703,Mystery
703,Sci-Fi
703,Thriller
704,Action
704,History
704,Romance
704,War
705,Action
705,Crime
705,Drama
705,Thriller
706,Comedy
706,Musical
706,Romance
707,Comedy
707,Short
708,Drama
708,History
708,Romance
708,War
709,Romance
710,Horror
710,Mystery
710,Thriller
711,Drama
711,Mystery
711,Romance
712,Adventure
712,Drama
712,History
713,Biography
713,Crime
713,Drama
714,Comedy
715,Animation
715,Action
715,Adventure
715,Comedy
715,Drama
715,Fantasy
715,Sci-Fi
715,Thriller
716,Documentary
717,Action
717,Drama
717,Sport
717,Thriller
718,Comedy
718,Drama
719,Documentary
720,Comedy
720,Drama
720,Music
721,Animation
721,Action
721,Comedy
722,Drama
723,Animation
723,Family
724,Action
725,Horror
726,Drama
727,Horror
727,Thriller
728,Comedy
728,Drama
730,Adventure
730,Fantasy
731,Comedy
732,Comedy
732,Romance
733,Adventure
733,Comedy
733,Drama
734,Adventure
734,Comedy
734,Drama
735,Horror
735,Thriller
736,Comedy
736,Drama
737,Drama
738,Adventure
738,Fantasy
738,Romance
740,Animation
740,Adventure
740,Comedy
740,Drama
740,Family
740,Mystery
740,Western
741,Drama
742,Drama
742,Romance
743,Comedy
743,Drama
744,Action
744,Sci-Fi
744,Thriller
745,Crime
745,Drama
745,Mystery
745,Thriller
746,Comedy
746,Drama
746,Music
748,Drama
748,Romance
749,Comedy
749,Fantasy
749,Romance
750,Action
750,Comedy
750,Sci-Fi
750,Thriller
751,Drama
751,Family
751,Mystery
752,Animation
752,Comedy
752,Drama
752,Romance
753,Comedy
754,Drama
754,War
755,Comedy
755,Romance
756,Horror
756,Mystery
756,Thriller
757,Comedy
757,Drama
757,Romance
759,Comedy
759,History
759,Romance
760,Drama
760,Mystery
760,Sci-Fi
760,Thriller
761,Sci-Fi
762,Horror
762,Thriller
763,Comedy
763,Family
763,Romance
764,Comedy
764,Drama
765,Reality-TV
766,News
769,Comedy
769,Drama
770,Documentary
770,Animation
770,Short
770,Drama
771,Mystery
772,Comedy
772,Romance
773,Drama
774,Comedy
774,Drama
775,Drama
775,Romance
777,Drama
778,Thriller
779,Animation
779,Romance
780,Adventure
780,Comedy
780,Drama
782,Comedy
782,Drama
782,Romance
783,Animation
783,Adventure
783,Comedy
783,Family
783,Fantasy
784,Comedy
784,Horror
784,Mystery
784,Sci-Fi
784,Thriller
785,Animation
785,Family
786,Drama
786,Music
787,Biography
787,Comedy
787,Drama
788,Biography
788,Drama
788,Music
791,Comedy
791,Crime
791,Thriller
792,Animation
792,Comedy
792,Family
793,Horror
793,Mystery
793,Thriller
794,Biography
794,Drama
795,Drama
796,Comedy
796,Crime
796,Drama
796,Thriller
797,Comedy
797,Drama
798,Animation
798,Family
799,Thriller
800,Sci-Fi
800,Short
801,Comedy
801,Romance
802,Drama
802,Romance
803,Drama
803,Horror
803,Mystery
803,Thriller
804,Drama
805,Documentary
806,Comedy
807,Documentary
808,Documentary
809,Drama
809,Romance
810,Comedy
810,Drama
810,Family
810,Sport
811,Horror
811,Music
811,Mystery
812,Drama
812,Romance
813,Action
813,Crime
813,Drama
813,Thriller
814,Drama
814,Romance
815,Drama
815,Game-Show
815,Reality-TV
815,Romance
816,Documentary
816,Family
817,Reality-TV
818,Action
818,Crime
818,Drama
819,Comedy
820,Drama
821,Drama
821,History
822,Drama
822,Romance
823,Drama
824,Adventure
824,Comedy
824,Family
824,Mystery
825,Crime
825,Drama
826,Documentary
827,Comedy
827,Romance
828,Drama
829,Drama
830,Action
830,Drama
830,Mystery
830,Thriller
831,Sci-Fi
831,Thriller
832,Action
832,Adventure
832,Family
832,Fantasy
832,Sci-Fi
833,Action
833,Adventure
833,Drama
833,Family
833,Sci-Fi
834,Drama
835,Comedy
835,Drama
836,Action
836,Adventure
836,Fantasy
836,Sci-Fi
837,Action
837,Adventure
837,Family
837,Sci-Fi
838,Action
838,Adventure
838,Fantasy
838,Sci-Fi
838,Thriller
839,Action
839,Adventure
839,Drama
839,Fantasy
839,Horror
839,Sci-Fi
839,Thriller
840,Action
840,Horror
840,Sci-Fi
841,Action
841,Sci-Fi
842,Action
842,Adventure
842,Drama
842,Sci-Fi
842,Thriller
843,Action
843,Adventure
843,Sci-Fi
843,Thriller
844,Action
844,Horror
844,Sci-Fi
845,Action
845,Adventure
845,Drama
845,Sci-Fi
846,Action
846,Fantasy
846,Horror
846,Sci-Fi
847,Animation
847,Action
847,Adventure
847,Horror
